"","replicate","areas","areas_ha","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"952",87,6,0.4198,92,45,47,157,0.0742316784869976,1.70652173913043,3.34042553191489,3.48888888888889,0.388453892652846,1.95744680851064,2.04444444444444,11.9574468085106,2.43540249885204
"953",87,7,0.5118,95,47,48,171,0.0757978723404255,1.8,3.5625,3.63829787234043,0.378509626893745,1.97916666666667,2.02127659574468,11.8958333333333,2.35954613689933
"954",87,8,0.5893,98,50,48,180,0.075,1.83673469387755,3.75,3.6,0.392376543209876,2.04166666666667,1.96,11.8958333333333,2.42314544186146
"955",87,9,0.633,107,53,54,200,0.0698812019566737,1.86915887850467,3.7037037037037,3.77358490566038,0.36185,1.98148148148148,2.0188679245283,11.037037037037,2.45856217177455
"956",87,10,0.6819,115,57,58,215,0.0650332728372656,1.8695652173913,3.70689655172414,3.7719298245614,0.357490535424554,1.98275862068966,2.01754385964912,10.3620689655172,2.47257042677898
"957",87,11,0.7133,119,58,61,227,0.0641605426794799,1.90756302521008,3.72131147540984,3.91379310344828,0.348483378291836,1.95081967213115,2.05172413793103,9.95081967213115,2.44039970348216
"958",88,1,0.0661,40,16,24,46,0.119791666666667,1.15,1.91666666666667,2.875,0.485822306238185,1.66666666666667,2.5,15.5833333333333,1.27996534294606
"959",88,2,0.115,60,27,33,71,0.079685746352413,1.18333333333333,2.15151515151515,2.62962962962963,0.473318785955168,1.81818181818182,2.22222222222222,13.6363636363636,1.61064653198533
"960",88,3,0.1925,67,32,35,86,0.0767857142857143,1.28358208955224,2.45714285714286,2.6875,0.447268793942672,1.91428571428571,2.09375,13.9142857142857,1.91152797982548
"961",88,4,0.2384,70,34,36,101,0.082516339869281,1.44285714285714,2.80555555555556,2.97058823529412,0.437800215665131,1.94444444444444,2.05882352941176,13.75,2.13341512521701
"962",88,5,0.3304,79,39,40,122,0.0782051282051282,1.54430379746835,3.05,3.12820512820513,0.425692018274657,1.975,2.02564102564103,13.075,2.0735316043019
"963",88,6,0.3741,90,43,47,143,0.0707570509648689,1.58888888888889,3.04255319148936,3.32558139534884,0.406425742090078,1.91489361702128,2.09302325581395,11.7234042553191,2.1441915194712
"964",88,7,0.4874,98,47,51,171,0.0713391739674593,1.74489795918367,3.35294117647059,3.63829787234043,0.389624157860538,1.92156862745098,2.08510638297872,11.0196078431373,2.25723636412238
"965",88,8,0.5997,107,53,54,191,0.0667365478686233,1.78504672897196,3.53703703703704,3.60377358490566,0.373619144212056,1.98148148148148,2.0188679245283,11,2.32822034319852
"966",88,9,0.6326,110,55,55,199,0.0657851239669422,1.80909090909091,3.61818181818182,3.61818181818182,0.385015529910861,2,2,10.8545454545455,2.4339536224305
"967",88,10,0.664,114,56,58,215,0.0661945812807882,1.8859649122807,3.70689655172414,3.83928571428571,0.383017847485127,1.96551724137931,2.03571428571429,10.3965517241379,2.40434045509403
"968",88,11,0.7133,119,58,61,227,0.0641605426794799,1.90756302521008,3.72131147540984,3.91379310344828,0.348483378291836,1.95081967213115,2.05172413793103,9.95081967213115,2.44039970348216
"969",89,1,0.0661,40,16,24,46,0.119791666666667,1.15,1.91666666666667,2.875,0.485822306238185,1.66666666666667,2.5,15.5833333333333,1.27996534294606
"970",89,2,0.1436,49,22,27,63,0.106060606060606,1.28571428571429,2.33333333333333,2.86363636363636,0.448475686570925,1.81481481481481,2.22727272727273,16.3703703703704,1.72573394381182
"971",89,3,0.2356,61,29,32,88,0.0948275862068965,1.44262295081967,2.75,3.03448275862069,0.474044421487603,1.90625,2.10344827586207,14.9375,1.67958508717163
"972",89,4,0.267,72,33,39,109,0.0846930846930847,1.51388888888889,2.79487179487179,3.3030303030303,0.466711556266308,1.84615384615385,2.18181818181818,13.8205128205128,1.72902182860962
"973",89,5,0.2999,76,35,41,117,0.0815331010452962,1.53947368421053,2.85365853658537,3.34285714285714,0.404631455913507,1.85365853658537,2.17142857142857,13.3170731707317,1.89136647188962
"974",89,6,0.3436,87,38,49,138,0.0741138560687433,1.58620689655172,2.81632653061224,3.63157894736842,0.412098298676748,1.77551020408163,2.28947368421053,11.8367346938776,1.99225317046822
"975",89,7,0.4559,96,45,51,161,0.0701525054466231,1.67708333333333,3.15686274509804,3.57777777777778,0.388796728521276,1.88235294117647,2.13333333333333,11.5294117647059,2.08737403830262
"976",89,8,0.5018,99,48,51,173,0.0706699346405229,1.74747474747475,3.3921568627451,3.60416666666667,0.399579003641953,1.94117647058824,2.0625,11.5294117647059,2.21064577308239
"977",89,9,0.5511,104,50,54,187,0.0692592592592593,1.79807692307692,3.46296296296296,3.74,0.363150218765192,1.92592592592593,2.08,10.962962962963,2.25770314228886
"978",89,10,0.6644,111,54,57,212,0.0688758934372969,1.90990990990991,3.71929824561404,3.92592592592593,0.360159309362763,1.94736842105263,2.05555555555556,10.5614035087719,2.41716285642934
"979",89,11,0.7133,119,58,61,227,0.0641605426794799,1.90756302521008,3.72131147540984,3.91379310344828,0.348541597935144,1.95081967213115,2.05172413793103,9.95081967213115,2.44039970348216
"980",90,1,0.0437,29,11,18,30,0.151515151515152,1.03448275862069,1.66666666666667,2.72727272727273,0.496666666666667,1.61111111111111,2.63636363636364,15.9444444444444,0.994691793826551
"981",90,2,0.0926,54,25,29,63,0.0868965517241379,1.16666666666667,2.17241379310345,2.52,0.503149407911313,1.86206896551724,2.16,13.4827586206897,1.55486763126609
"982",90,3,0.1587,73,33,40,94,0.0712121212121212,1.28767123287671,2.35,2.84848484848485,0.430398370303305,1.825,2.21212121212121,11.95,1.71004865554655
"983",90,4,0.2507,83,38,45,118,0.0690058479532164,1.42168674698795,2.62222222222222,3.10526315789474,0.425739729962654,1.84444444444444,2.18421052631579,11.4222222222222,1.79510973514982
"984",90,5,0.2821,91,41,50,137,0.0668292682926829,1.50549450549451,2.74,3.34146341463415,0.440034098779903,1.82,2.21951219512195,10.9,1.81441971977129
"985",90,6,0.315,95,43,52,145,0.0648479427549195,1.52631578947368,2.78846153846154,3.37209302325581,0.430249702734839,1.82692307692308,2.2093023255814,10.6923076923077,1.94760697900161
"986",90,7,0.3609,97,45,52,159,0.0679487179487179,1.63917525773196,3.05769230769231,3.53333333333333,0.391677544400934,1.86538461538462,2.15555555555556,10.6923076923077,2.11819510621672
"987",90,8,0.4102,104,47,57,173,0.0645763344531542,1.66346153846154,3.03508771929825,3.68085106382979,0.397975207992248,1.82456140350877,2.21276595744681,10.4385964912281,2.19402821685609
"988",90,9,0.5225,111,53,58,196,0.0637605725439167,1.76576576576577,3.37931034482759,3.69811320754717,0.359824031653478,1.91379310344828,2.09433962264151,10.2931034482759,2.29449645463583
"989",90,10,0.6358,117,56,61,220,0.0644028103044497,1.88034188034188,3.60655737704918,3.92857142857143,0.364690082644628,1.91803278688525,2.08928571428571,9.95081967213115,2.43570151100206
"990",90,11,0.7133,119,58,61,227,0.0641605426794799,1.90756302521008,3.72131147540984,3.91379310344828,0.348541597935144,1.95081967213115,2.05172413793103,9.95081967213115,2.44039970348216
"991",91,1,0.0775,25,14,11,26,0.168831168831169,1.04,2.36363636363636,1.85714285714286,0.519230769230769,2.27272727272727,1.78571428571429,27.4545454545455,1.88778811002701
"992",91,2,0.1212,44,21,23,52,0.107660455486542,1.18181818181818,2.26086956521739,2.47619047619048,0.500369822485207,1.91304347826087,2.0952380952381,16.9130434782609,1.86114316265048
"993",91,3,0.1671,56,28,28,72,0.0918367346938776,1.28571428571429,2.57142857142857,2.57142857142857,0.473572530864198,2,2,15.8214285714286,2.50851316865782
"994",91,4,0.2591,66,32,34,94,0.0863970588235294,1.42424242424242,2.76470588235294,2.9375,0.466387505658669,1.94117647058824,2.0625,14.2352941176471,2.30651274983713
"995",91,5,0.3714,79,40,39,116,0.0743589743589744,1.46835443037975,2.97435897435897,2.9,0.43839179548157,2.02564102564103,1.975,14.0769230769231,2.37200548137535
"996",91,6,0.4375,90,45,45,144,0.0711111111111111,1.6,3.2,3.2,0.409866898148148,2,2,12.7555555555556,2.12616946429702
"997",91,7,0.5508,98,49,49,173,0.0720533111203665,1.76530612244898,3.53061224489796,3.53061224489796,0.416752982057536,2,2,11.9387755102041,2.28675371229164
"998",91,8,0.6001,104,52,52,193,0.0713757396449704,1.85576923076923,3.71153846153846,3.71153846153846,0.377728261161374,2,2,11.3269230769231,2.37495903228399
"999",91,9,0.633,107,53,54,200,0.0698812019566737,1.86915887850467,3.7037037037037,3.77358490566038,0.36185,1.98148148148148,2.0188679245283,11.037037037037,2.45856217177455
"1000",91,10,0.6644,111,54,57,212,0.0688758934372969,1.90990990990991,3.71929824561404,3.92592592592593,0.360159309362763,1.94736842105263,2.05555555555556,10.5614035087719,2.41716285642934
"1001",91,11,0.7133,119,58,61,227,0.0641605426794799,1.90756302521008,3.72131147540984,3.91379310344828,0.348483378291836,1.95081967213115,2.05172413793103,9.95081967213115,2.44039970348216
"1002",92,1,0.0493,34,17,17,39,0.134948096885813,1.14705882352941,2.29411764705882,2.29411764705882,0.454963839579224,2,2,18.2352941176471,1.86889483809144
"1003",92,2,0.1268,46,24,22,58,0.109848484848485,1.26086956521739,2.63636363636364,2.41666666666667,0.487812128418549,2.09090909090909,1.91666666666667,18.8181818181818,2.36726312643126
"1004",92,3,0.1705,61,29,32,82,0.0883620689655172,1.34426229508197,2.5625,2.82758620689655,0.447352766210589,1.90625,2.10344827586207,14.78125,2.19490871746037
"1005",92,4,0.2366,77,36,41,114,0.0772357723577236,1.48051948051948,2.78048780487805,3.16666666666667,0.394890735610957,1.8780487804878,2.13888888888889,12.5853658536585,2.15988426762783
"1006",92,5,0.268,83,37,46,129,0.0757931844888367,1.55421686746988,2.80434782608696,3.48648648648649,0.391022174148188,1.80434782608696,2.24324324324324,11.8913043478261,2.04645367337785
"1007",92,6,0.3169,94,43,51,145,0.0661194710442316,1.54255319148936,2.84313725490196,3.37209302325581,0.390630202140309,1.84313725490196,2.18604651162791,10.9019607843137,2.08003651442259
"1008",92,7,0.4302,104,48,56,173,0.064360119047619,1.66346153846154,3.08928571428571,3.60416666666667,0.407631394299843,1.85714285714286,2.16666666666667,10.25,2.25596117829316
"1009",92,8,0.4761,106,49,57,186,0.0665950590762621,1.75471698113208,3.26315789473684,3.79591836734694,0.359868192854665,1.85964912280702,2.16326530612245,10.2105263157895,2.36578027895274
"1010",92,9,0.5884,114,55,59,206,0.063482280431433,1.80701754385965,3.49152542372881,3.74545454545455,0.358162880573098,1.93220338983051,2.07272727272727,10.0847457627119,2.42175924749946
"1011",92,10,0.6213,116,56,60,213,0.0633928571428571,1.83620689655172,3.55,3.80357142857143,0.361061517776455,1.93333333333333,2.07142857142857,9.96666666666667,2.48340821601474
"1012",92,11,0.7133,119,58,61,227,0.0641605426794799,1.90756302521008,3.72131147540984,3.91379310344828,0.348541597935144,1.95081967213115,2.05172413793103,9.95081967213115,2.44039970348216
"1013",93,1,0.0661,40,16,24,46,0.119791666666667,1.15,1.91666666666667,2.875,0.485822306238185,1.66666666666667,2.5,15.5833333333333,1.27996534294606
"1014",93,2,0.112,49,22,27,62,0.104377104377104,1.26530612244898,2.2962962962963,2.81818181818182,0.496618106139438,1.81481481481481,2.22727272727273,15.2592592592593,1.72337187320406
"1015",93,3,0.1609,65,31,34,87,0.0825426944971537,1.33846153846154,2.55882352941176,2.80645161290323,0.452239397542608,1.91176470588235,2.09677419354839,13.4705882352941,1.94819077702898
"1016",93,4,0.1923,75,36,39,107,0.0762108262108262,1.42666666666667,2.74358974358974,2.97222222222222,0.436457332518124,1.92307692307692,2.08333333333333,12.5384615384615,1.97416374792875
"1017",93,5,0.2698,79,38,41,121,0.0776636713735558,1.53164556962025,2.95121951219512,3.18421052631579,0.400109282152858,1.92682926829268,2.07894736842105,12.8292682926829,2.14538161015193
"1018",93,6,0.3135,90,42,48,143,0.0709325396825397,1.58888888888889,2.97916666666667,3.4047619047619,0.399481637243875,1.875,2.14285714285714,11.5416666666667,2.16659141794859
"1019",93,7,0.4268,99,46,53,171,0.0701394585726005,1.72727272727273,3.22641509433962,3.71739130434783,0.400396703259122,1.86792452830189,2.15217391304348,10.7924528301887,2.28395543831889
"1020",93,8,0.5391,108,52,56,191,0.0655906593406593,1.76851851851852,3.41071428571429,3.67307692307692,0.379320742304213,1.92857142857143,2.07692307692308,10.5535714285714,2.34698832876123
"1021",93,9,0.572,111,54,57,199,0.0646523716699155,1.79279279279279,3.49122807017544,3.68518518518519,0.355395065781167,1.94736842105263,2.05555555555556,10.4210526315789,2.44302371886044
"1022",93,10,0.6213,116,56,60,213,0.0633928571428571,1.83620689655172,3.55,3.80357142857143,0.361061517776455,1.93333333333333,2.07142857142857,9.96666666666667,2.48340821601474
"1023",93,11,0.7133,119,58,61,227,0.0641605426794799,1.90756302521008,3.72131147540984,3.91379310344828,0.348483378291836,1.95081967213115,2.05172413793103,9.95081967213115,2.44039970348216
"1024",94,1,0.0314,30,11,19,32,0.15311004784689,1.06666666666667,1.68421052631579,2.90909090909091,0.5078125,1.57894736842105,2.72727272727273,16.2631578947368,0.990808913278226
