"","r","area","area_ha","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"126",12,6,0.3127,"mod3",0.944806484537717,0.030618045377308,30.8578314812331,1.32194466568462e-09,NA,NA,NA,NA,0.93
"137",13,6,0.4437,"mod3",0.837939057413373,0.0455665023110697,18.3893653213275,7.87265394587369e-08,NA,NA,NA,NA,0.93
"148",14,6,0.4311,"mod3",1.15144710441518,0.0576870542186443,19.9602340596382,4.13813771158768e-08,NA,NA,NA,NA,0.93
"159",15,6,0.3155,"mod3",1.08813304366446,0.0373911735318942,29.1013343760474,1.09088086914465e-07,NA,NA,NA,NA,0.93
"170",16,6,0.3447,"mod3",0.852585826050097,0.0245309919067096,34.7554566603931,9.21422986561001e-12,NA,NA,NA,NA,0.93
"181",17,6,0.3978,"mod3",0.846160919241139,0.045559662277099,18.5725898075076,1.18092851621205e-09,NA,NA,NA,NA,0.93
"192",18,6,0.4109,"mod3",1.0202251999503,0.0352411355992707,28.9498389481927,1.12536566991975e-07,NA,NA,NA,NA,0.93
"202",19,6,0.4139,"mod3",0.874372399970206,0.0318127645109031,27.4849549673854,5.41966007156964e-10,NA,NA,NA,NA,0.93
"212",20,6,0.3825,"mod3",1.00140065968402,0.0339816535892175,29.4688619862152,4.72797378353635e-11,NA,NA,NA,NA,0.93
"223",21,6,0.3191,"mod3",1.21977645929714,0.0797613622333648,15.2928238077019,2.16856391177254e-05,NA,NA,NA,NA,0.93
"234",22,6,0.3502,"mod3",1.3367412350384,0.0157811891221936,84.7047218487796,8.41597200668687e-12,NA,NA,NA,NA,0.93
"245",23,6,0.3695,"mod3",1.05387815367518,0.0609014157236117,17.3046577185987,5.28939457549494e-07,NA,NA,NA,NA,0.93
"256",24,6,0.409,"mod3",0.997584532655405,0.0562680796819002,17.7291376975194,1.0481279263137e-07,NA,NA,NA,NA,0.93
"267",25,6,0.3127,"mod3",0.942315004498131,0.080182235374075,11.7521667998147,7.31333072344153e-06,NA,NA,NA,NA,0.93
"278",26,6,0.4674,"mod3",0.902375758134861,0.0188542392599737,47.8606294156107,3.82512323665497e-13,NA,NA,NA,NA,0.93
"300",28,6,0.4386,"mod3",0.844941920443231,0.0346702624315536,24.3707967919575,1.57877560266653e-09,NA,NA,NA,NA,0.93
"311",29,6,0.3988,"mod3",1.07021240056397,0.0340995637232815,31.3849294157767,1.66042743551466e-10,NA,NA,NA,NA,0.93
"322",30,6,0.3626,"mod3",0.934101846003597,0.038799687758989,24.0749835876498,9.44616382150373e-09,NA,NA,NA,NA,0.93
"333",31,6,0.4773,"mod3",0.957575764039554,0.0461134476742906,20.7656510700116,3.03185982291369e-08,NA,NA,NA,NA,0.93
"355",33,6,0.3921,"mod3",0.9115952769549,0.0252574870793749,36.0920812941562,3.80495632664797e-10,NA,NA,NA,NA,0.93
"366",34,6,0.315,"mod3",0.85672118669483,0.056805461620202,15.0816693018502,3.69456019508376e-07,NA,NA,NA,NA,0.93
"376",35,6,0.4043,"mod3",0.969978868734369,0.0331678336968077,29.2445650084084,1.40748688081911e-08,NA,NA,NA,NA,0.93
"387",36,6,0.3498,"mod3",0.939792288173298,0.0685483639578918,13.7099156553262,2.58886363800344e-06,NA,NA,NA,NA,0.93
"398",37,6,0.4588,"mod3",0.855130481235844,0.0453023157939399,18.8760875961717,2.91138109105593e-07,NA,NA,NA,NA,0.93
"409",38,6,0.3622,"mod3",1.10654037103208,0.0303134698158987,36.5032567288528,2.81962902000377e-08,NA,NA,NA,NA,0.93
"420",39,6,0.4077,"mod3",1.02915626196898,0.0361221771511051,28.4909809744813,2.49014377108418e-09,NA,NA,NA,NA,0.93
"430",40,6,0.4109,"mod3",0.923686225094284,0.0484104947893762,19.080288873581,5.8958712045577e-08,NA,NA,NA,NA,0.93
"441",41,6,0.3813,"mod3",0.928246978428757,0.0323934283226997,28.655410263516,2.37905916102963e-09,NA,NA,NA,NA,0.93
"452",42,6,0.3323,"mod3",1.04142227469452,0.0157825914953069,65.9855052957678,1.55614009088564e-14,NA,NA,NA,NA,0.93
"463",43,6,0.3483,"mod3",0.884549404463832,0.0470584989419123,18.7968044955215,1.56825711301556e-08,NA,NA,NA,NA,0.93
"474",44,6,0.3165,"mod3",0.995627141317841,0.0318865745497732,31.224023131231,8.92659973205846e-09,NA,NA,NA,NA,0.93
"484",45,6,0.3005,"mod3",0.999256498966491,0.0766729309715134,13.032715539957,1.14012822632256e-06,NA,NA,NA,NA,0.93
"495",46,6,0.4286,"mod3",1.01532602613196,0.0279861812943587,36.2795486619901,4.54785085284989e-11,NA,NA,NA,NA,0.93
