"","replicate","areas","areas_ha","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"726",66,11,0.7133,48,30,18,55,0.101851851851852,1.14583333333333,3.05555555555556,1.83333333333333,0.530909090909091,2.66666666666667,1.6,5.77777777777778,3.16047540161599
"727",67,1,0.0459,7,4,3,4,0.333333333333333,0.571428571428571,1.33333333333333,1,0.625,2.33333333333333,1.75,8,1.01036297108185
"728",67,2,0.0896,21,11,10,20,0.181818181818182,0.952380952380952,2,1.81818181818182,0.53,2.1,1.90909090909091,6.5,1.48492424049175
"729",67,3,0.1389,21,11,10,21,0.190909090909091,1,2.1,1.90909090909091,0.501133786848073,2.1,1.90909090909091,6.5,1.52388392675499
"730",67,4,0.2164,22,12,10,23,0.191666666666667,1.04545454545455,2.3,1.91666666666667,0.489603024574669,2.2,1.83333333333333,6.5,1.74926995904692
"731",67,5,0.3287,22,12,10,24,0.2,1.09090909090909,2.4,2,0.465277777777778,2.2,1.83333333333333,6.5,1.89345852481252
"732",67,6,0.3616,28,16,12,28,0.145833333333333,1,2.33333333333333,1.75,0.528061224489796,2.33333333333333,1.75,7,2.42462118253303
"733",67,7,0.4277,29,16,13,29,0.139423076923077,1,2.23076923076923,1.8125,0.521997621878716,2.23076923076923,1.8125,6.84615384615385,2.35066820832737
"734",67,8,0.4591,35,21,14,38,0.129251700680272,1.08571428571429,2.71428571428571,1.80952380952381,0.492382271468144,2.5,1.66666666666667,6.92857142857143,2.48798519237839
"735",67,9,0.508,41,24,17,43,0.105392156862745,1.04878048780488,2.52941176470588,1.79166666666667,0.543537047052461,2.41176470588235,1.70833333333333,6.05882352941176,2.50274004394134
"736",67,10,0.6,44,27,17,50,0.108932461873638,1.13636363636364,2.94117647058824,1.85185185185185,0.5136,2.58823529411765,1.62962962962963,6.05882352941176,2.97562647877325
"737",67,11,0.7133,48,30,18,55,0.101851851851852,1.14583333333333,3.05555555555556,1.83333333333333,0.530909090909091,2.66666666666667,1.6,5.77777777777778,3.16047540161599
"738",68,1,0.0329,11,6,5,7,0.233333333333333,0.636363636363636,1.4,1.16666666666667,0.63265306122449,2.2,1.83333333333333,12.8,1.40552844299987
"739",68,2,0.1452,17,10,7,14,0.2,0.823529411764706,2,1.4,0.596938775510204,2.42857142857143,1.7,9.42857142857143,1.85485206700594
"740",68,3,0.2113,18,10,8,15,0.1875,0.833333333333333,1.875,1.5,0.582222222222222,2.25,1.8,8.875,1.74928556845359
"741",68,4,0.255,28,15,13,25,0.128205128205128,0.892857142857143,1.92307692307692,1.66666666666667,0.6096,2.15384615384615,1.86666666666667,6.84615384615385,2.30719721184795
"742",68,5,0.347,33,20,13,33,0.126923076923077,1,2.53846153846154,1.65,0.593204775022957,2.53846153846154,1.65,6.84615384615385,2.84650032541085
"743",68,6,0.3929,34,21,13,35,0.128205128205128,1.02941176470588,2.69230769230769,1.66666666666667,0.560816326530612,2.61538461538462,1.61904761904762,6.84615384615385,2.72994518857078
"744",68,7,0.5062,39,25,14,40,0.114285714285714,1.02564102564103,2.85714285714286,1.6,0.580625,2.78571428571429,1.56,6.42857142857143,2.9587340439548
"745",68,8,0.5551,43,26,17,45,0.101809954751131,1.04651162790698,2.64705882352941,1.73076923076923,0.603456790123457,2.52941176470588,1.65384615384615,5.64705882352941,2.80511256452159
"746",68,9,0.6044,43,26,17,46,0.104072398190045,1.06976744186047,2.70588235294118,1.76923076923077,0.563327032136106,2.52941176470588,1.65384615384615,5.64705882352941,2.76047306696342
