"","replicate","area","species","links","connectances","links_per_sp","indegrees","outdegrees","maxsims","basals","tops","intermediates","sd_gen","sd_vul","overlaps","S_tops","S_intermediates","S_basals","modularities","normalised_indegree","normalised_outdegree","resources","consumers","potential_indegree"
"60",1,60,194,815,0.0435339992521767,4.20103092783505,16.6326530612245,4.42934782608696,0,0.747422680412371,0.0567010309278351,0.195876288659794,2.86389171194813,0.865095387977212,0.534013605442177,11,38,145,0.219780191779137,3.95918367346939,1.05434782608696,184,49,17.1836734693878
"61",1,61,194,804,0.0429464238021473,4.14432989690722,16.4081632653061,4.3695652173913,0,0.742268041237113,0.0515463917525773,0.201030927835052,2.8995806290344,0.854419220496256,0.517006802721088,10,39,144,0.217621475458145,3.95918367346939,1.05434782608696,184,49,17.1632653061224
"62",1,62,195,808,0.0427174200370077,4.14358974358974,16.4897959183673,4.36756756756757,0,0.748717948717949,0.0564102564102564,0.194871794871795,2.91175328482415,0.854832140225536,0.516156462585034,11,38,146,0.21796116232872,3.97959183673469,1.05405405405405,185,49,17.1020408163265
"63",1,63,195,814,0.0430346286016389,4.17435897435897,15.9607843137255,4.4,0,0.738461538461539,0.0564102564102564,0.205128205128205,2.87860421447855,0.873963908760947,0.507450980392157,11,40,144,0.177029460668564,3.82352941176471,1.05405405405405,185,51,16.5882352941176
"64",1,64,195,774,0.0409199048374306,3.96923076923077,15.48,4.20652173913043,0,0.738461538461539,0.0564102564102564,0.2,2.95571925056562,0.870451850892937,0.496326530612245,11,39,144,0.234139755368233,3.9,1.05978260869565,184,50,16.06
"65",1,65,195,806,0.0426116838487973,4.13333333333333,16.12,4.35675675675676,0,0.743589743589744,0.0564102564102564,0.2,2.94186404880629,0.858106272316154,0.504489795918367,11,39,145,0.213020831346512,3.9,1.05405405405405,185,50,16.6
"66",1,66,196,821,0.0429618001046572,4.18877551020408,16.0980392156863,4.41397849462366,0,0.739795918367347,0.0561224489795918,0.204081632653061,2.89938084305199,0.866352060253418,0.509803921568627,11,40,145,0.215394914150238,3.84313725490196,1.05376344086022,186,51,16.5882352941176
"67",1,67,196,821,0.0429618001046572,4.18877551020408,16.42,4.41397849462366,0,0.744897959183674,0.0561224489795918,0.198979591836735,2.89716226443107,0.865677072309472,0.517551020408163,11,39,146,0.219759628176689,3.92,1.05376344086022,186,50,16.86
"68",1,68,196,815,0.0426478283621141,4.15816326530612,15.9803921568627,4.38172043010753,0,0.739795918367347,0.0561224489795918,0.204081632653061,2.91147460039323,0.865577907471503,0.508235294117647,11,40,145,0.204157486557961,3.84313725490196,1.05376344086022,186,51,16.5882352941176
"69",1,69,196,827,0.0432757718472004,4.21938775510204,16.54,4.42245989304813,0,0.744897959183674,0.0510204081632653,0.204081632653061,2.89080531516845,0.847167882295655,0.51265306122449,10,40,146,0.225406438112259,3.92,1.04812834224599,187,50,16.9
"70",1,70,197,810,0.041955868641873,4.11167512690355,16.875,4.33155080213904,0,0.746192893401015,0.0456852791878173,0.197969543147208,3.00620968023934,0.830152313558221,0.499113475177305,9,39,147,0.183591693639755,4.10416666666667,1.05347593582888,187,48,17
"71",1,71,199,840,0.0426374295721029,4.22110552763819,16.4705882352941,4.44444444444444,0,0.743718592964824,0.0552763819095477,0.201005025125628,2.9327804454529,0.856205947385689,0.509803921568627,11,40,148,0.222872748970985,3.90196078431373,1.05291005291005,189,51,16.5882352941176
"72",1,72,199,836,0.0424343941931882,4.20100502512563,16.3921568627451,4.42328042328042,0,0.743718592964824,0.0552763819095477,0.201005025125628,2.91575223782525,0.860583404186893,0.508235294117647,11,40,148,0.193283379077911,3.90196078431373,1.05291005291005,189,51,16.5882352941176
"73",1,73,200,824,0.0414070351758794,4.12,16.156862745098,4.33684210526316,0,0.745,0.055,0.2,2.94371605048029,0.853229979702352,0.506666666666667,11,40,149,0.21869108080864,3.92156862745098,1.05263157894737,190,51,16.5882352941176
