"","s_type","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"4838",3,97,18,"mod2",NA,NA,NA,NA,42.0991630406349,1.07332636960631,39.2230771858113,2.44596305544889e-27
"4839",3,97,19,"mod2",NA,NA,NA,NA,43.4371984809097,0.970547660294554,44.7553481997235,4.01087738034646e-31
"4840",3,97,20,"mod2",NA,NA,NA,NA,43.4371984809097,0.970547660294554,44.7553481997235,4.01087738034646e-31
"4841",3,98,1,"mod2",NA,NA,NA,NA,40.9605960803124,5.52603320543263,7.41229640821632,3.29024752270288e-06
"4842",3,98,2,"mod2",NA,NA,NA,NA,42.106720830793,4.18674331654316,10.0571536507662,2.53730498122679e-08
"4843",3,98,3,"mod1",0.103213178753744,0.0363392837761727,2.84026452996357,0.0108567051228791,37.6041598974734,5.32810947485008,7.05769280360582,1.39142536766737e-06
"4844",3,98,4,"mod2",NA,NA,NA,NA,29.9214598063105,0.873007022232551,34.2740196176109,1.54405635669411e-22
"4845",3,98,5,"mod2",NA,NA,NA,NA,33.7224864094097,1.18085194802511,28.5577599002214,1.82482208764329e-19
"4846",3,98,6,"mod2",NA,NA,NA,NA,35.1699818610021,0.949496744952906,37.0406555345764,2.29885875769268e-23
"4847",3,98,7,"mod2",NA,NA,NA,NA,56.9166518202608,5.10753727786861,11.1436586213253,1.62519136528387e-10
"4848",3,98,8,"mod2",NA,NA,NA,NA,38.2881087284774,1.25502919623588,30.5077434400029,2.65494777547465e-21
"4849",3,98,9,"mod2",NA,NA,NA,NA,38.6403562345526,1.06399325019062,36.3163546644962,8.24119021977862e-24
"4850",3,98,10,"mod2",NA,NA,NA,NA,36.6012512224772,0.768609519128665,47.6200857673091,7.94204304728596e-30
"4851",3,98,11,"mod2",NA,NA,NA,NA,42.4396384233156,1.04544180932665,40.594931295746,9.65857456248492e-26
"4852",3,98,12,"mod2",NA,NA,NA,NA,43.033919986077,1.02359404002474,42.0419798312199,3.16132545815293e-28
"4853",3,98,13,"mod2",NA,NA,NA,NA,39.7459716459525,0.832139817857817,47.7635738526139,4.83844456400848e-32
"4854",3,98,14,"mod2",NA,NA,NA,NA,42.1760048034703,1.03016025255379,40.941207641156,6.9152378489911e-28
"4855",3,98,15,"mod2",NA,NA,NA,NA,42.0721576206209,0.920726261857347,45.6945341558416,1.02361588156387e-30
"4856",3,98,16,"mod2",NA,NA,NA,NA,43.3294302684676,1.02160811288382,42.4129661090456,5.06840916337435e-29
"4857",3,98,17,"mod2",NA,NA,NA,NA,43.4635484123818,0.95991798935165,45.2783976282579,2.74985611905316e-31
"4858",3,98,18,"mod2",NA,NA,NA,NA,42.6611491375865,0.930399197691834,45.8525214159919,1.82588361693479e-31
"4859",3,98,19,"mod2",NA,NA,NA,NA,43.2339956184644,0.941304829199477,45.9298563837522,1.7285562331058e-31
"4860",3,98,20,"mod2",NA,NA,NA,NA,43.4371984809097,0.970547660294554,44.7553481997235,4.01087738034646e-31
"4861",3,99,1,"mod2",NA,NA,NA,NA,26.3802386408447,3.05026082562331,8.64851897884959,1.67812598381774e-06
"4862",3,99,2,"mod1",-0.0582092400627839,0.0257316459573623,-2.26216543470392,0.0370773227653169,16.8695132896351,1.17591208990578,14.3458966315984,6.26837435982914e-11
"4863",3,99,3,"mod2",NA,NA,NA,NA,27.5688071599451,1.21338964796993,22.7204898328161,3.68744137123781e-14
"4864",3,99,4,"mod2",NA,NA,NA,NA,44.885353168755,4.4307786926251,10.1303532138641,9.53228452038334e-10
"4865",3,99,5,"mod2",NA,NA,NA,NA,52.3040336487181,4.90673337980442,10.6596445333663,1.86273910238189e-09
"4866",3,99,6,"mod2",NA,NA,NA,NA,55.5680658803803,5.52842542490385,10.0513367929435,1.77112674721482e-09
"4867",3,99,7,"mod2",NA,NA,NA,NA,35.6209137840218,1.11656948031302,31.9021022982249,6.46408496944364e-20
"4868",3,99,8,"mod2",NA,NA,NA,NA,68.3919212529636,5.88797011114008,11.6155347194385,5.20870690680187e-12
"4869",3,99,9,"mod2",NA,NA,NA,NA,38.8741850204243,0.937556731884999,41.4632882452521,5.50192195139496e-26
"4870",3,99,10,"mod2",NA,NA,NA,NA,39.947719862063,0.964961783212327,41.3982403832391,1.15865344745376e-26
